timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
107.0,18.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,113.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129.0,21.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,119.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119.0,12.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,130.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114.0,10.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,119.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
128.0,17.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,142.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,21.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,115.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,19.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,158.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,20.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,90.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99.0,20.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,140.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115.0,17.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,122.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,20.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,120.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102.0,17.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,126.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,13.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,111.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105.0,15.0,3.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,108.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118.0,20.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,123.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104.0,15.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,132.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112.0,17.0,3.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,118.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
